id,code,name
enderase_hear_about_social_media,social_media,Social Media
enderase_hear_about_friend_member,friend_member,Friend/Member
enderase_hear_about_event,event,Event
enderase_hear_about_partner_organization,partner_organization,Partner Organization
enderase_hear_about_linkedin,linkedin,LinkedIn
enderase_hear_about_telegram_channel,telegram_channel,Telegram Channel
enderase_hear_about_african_youth_forum_2025_uneca,african_youth_forum_2025_uneca,African Youth Forum 2025 at UNECA
enderase_hear_about_opportunity_for_all,opportunity_for_all,Opportunity for All
enderase_hear_about_other,other,Other
