id,code,name
enderase_membership_type_three_months_500_etb,three_months_500_etb,3 months : 500 ETB
enderase_membership_type_six_months_1000_etb,six_months_1000_etb,6 months: 1000 ETB
enderase_membership_type_one_year_2000_etb,one_year_2000_etb,1 year: 2000 ETB
