id,code,name
enderase_education_level_elementary,elementary,Elementary
enderase_education_level_high_school,high_school,High School
enderase_education_level_first_degree,first_degree,First Degree
enderase_education_level_technical_training,technical_training,Technical Training
enderase_education_level_no_education,no_education,No Education
